"Issue #1-Fall/Summer 2004";"1154448032";"1163180282";"<h2>Issue 1:</h2><ul><li>Premiere issue</li><li>Dated: Fall/ Summer 2004 Vol.1 Issue 1</li><li>Pages: 4 </li></ul><h3>MNN gets an Upgrade:</h3><p>Manhattan Neighborhood Network has dramatically changed its facilities to accommodate to the digital age by changing its editing systems to non- linear editing with iMovie and Final Cut Pro.<br /></p><h3>New Express Studio: </h3><p>MNN has upgraded its express studio to digital. The new express studio includes more space for active shows and robotic cameras.<br /></p><h3>In the Field tips:</h3><p> Read some helpful hints on managing equipment while on the field.<br />Crossword Puzzle: Can you solve the MNN crossword puzzle?</p>"
"Issue #2-Fall/Winter 2004";"1154448234";"1163180285";"<h2>Issue 2:</h2><ul><li>Getting Connected</li><li>Dated: Fall/ Winter 2004-05 Vol.1 Issue 2</li><li>Pages: 4<br /></li></ul><h3>MNN Yahoo Groups: </h3><p>MNN gets connected by activating class yahoo groups, in which current students and former students can communicate with each other about their shows and help each other out in productions.<br /></p><h3>The Hip Hop Drop: </h3><p>Get an inside report on the results of the Hip Hop President campaign. Hear first hand what is to come for the winner and the runner up.<br /></p><h3>Dinner with Cheney: </h3><p>Read the interesting and humorous story about a fellow producer and his encounter with Dick Cheney during the week of the Republican National Convention.<br /></p><h3>Production Updates:</h3><p> Get up to date with the latest changes in the Production Department.<br />Crossword Puzzle and Cartoons<br /></p>"
"Issue #3-Spring 2005";"1154448324";"1163180325";"<h2>Issue 3:</h2><ul><li>Expressing Yourself</li><li>Dated: Spring 2005 Vol. 2 Issue 1</li><li>Pages: 6<br /></li></ul><h3>New Mini Express Studio: </h3><p>MNN introduces the mini express studio, a quick and easy way to have a taped or live show on the air without the complications of technical no how.<br /></p><h3>Putting yourself on the internet: </h3><p>Learn about the world of Vlogging as we pioneer through the new age of placing video on the internet<br /></p><h3>Hip Hop Icon Graces MNN: </h3><p>Read about Hip Hop Icon Fab Five Freddy and his link to Public Access Television.<br /></p><h3>Love is on the Air: </h3><p>New programming on MNN is coming with love as its main theme. Read about what the shows are, who produces them and when you can catch them.<br /></p><h3>TV 80 this year: </h3><p>Celebrate the 80th anniversary of television through this in depth and informational article.<br /></p><h3>Producers Profiles:</h3><p>We take a look into the lives and history of producers who have made an impact through their shows. Profiles include Philip DeJean (Checkerboard Kids) and Jose Santiago (Lefts, Rights and Videotape)<br /></p><h3>Crossword Puzzle, Cartoons: </h3><p>The introduction of Fast Forward and more </p>"
"Issue #4-Summer 2005";"1154448428";"1166214126";"<h2>[img_assist|nid=598|title=|desc=|link=none|align=right|width=131|height=191]</h2><p>&nbsp;</p><h3>Issue 4:</h3><ul><li>The world of an ED</li><li>Dated: Summer 2005 Vol. 2 Issue 2</li><li>Pages: 8<br /></li></ul><h3>An inside look with interim E.D. Robert Devine: </h3><p>Get a first hand look at the MNN interim E.D. Robert Devine and his hopes for the Future of MNN and Public Access.<br /></p><h3>Demanding more Democratic Media: </h3><p>Read about the regional media conference and the determination of independent media makers to bring democracy to the media world.<br />Videotape is Dead! What is happening to video? What is HD? Is analog dead? Learn about the evolution of video in this informative article.<br /></p><h3>The essentials of editing: </h3><p>Get some tips on editing fundamentals and how to improve your show quality.<br /></p><h3>Producers Profiles: </h3><p>We take a look into the lives and history of producers who have made an impact through their shows. Profiles include Alamelu Narayanaswamy (Curry n’ Spice) and Harvey Wiesenberg (Invasion Earth).<br />Crossword Puzzle, Cartoons and more<br /></p>"
"Issue #5-Fall 2005";"1154448536";"1185556013";"<ul><li>Save Public Access[img_assist|nid=597|title=|desc=|link=none|align=right|width=165|height=129]</li></ul><ul><li>Dated: Fall 2005 Vol. 2 Issue 3</li><li>Pages: 8<br /></li></ul><h3>Bills in Washington threaten the future of Public Access: </h3><p>The Save Access campaign has begun, learn about the bills that threaten the future of MNN and Public Access Television and what you can do to stop it.<br /></p><h3>Telesur TV: </h3><p>Venezuela launches a new television station that will focus on the country and its people.<br />Hip Hop Strikes! The Return of the Kanye Sith: This editorial looks into the situation started by Kanye West during the Katrina Disaster and how mainstream media reacted.<br /></p><h3>The World is Vlogging: </h3><p>Videoblogging has expanded all over the world learn about what it is and how you can get started in your own vlog.<br /></p><h3>The essentials of editing: </h3><p>Get some tips on editing fundamentals and how to improve your show quality. In this article we discuss Timecode.<br /></p><h3>A Tribute: </h3><p>We say farewell to beloved producer and friend Luis Caballero, read quotes from family and friends about his life his work and his love for life.<br /></p><h3>Producers Profiles: </h3><p>We take a look into the lives and history of producers who have made an impact through their shows. Profiles include Nat Wood (30 frames a second) and Celia Navarro (Mexico al Dia).<br /></p><h3>Pammy Corder Tips: </h3><p>What is a Headend?<br />Crossword Puzzle, Cartoons and more </p>"
"Final Cut Studio 5 Comes to MNN";"1163179432";"1163193722";"<p>Manhattan Neighborhood Network is committed to providing the latest technology for our producers. Our post-production stations are now equipped with Final Cut Studio 5, the leading software in high-performance digital non-linear editing. Whether you’re working on a single episode or series, this latest version of Final Cut Studio gives you more creative freedom and technical control than ever before.</p> <p>Final Cut Studio’s powerful multi-cam editing tools let you view and cut video from multiple sources in real time. The multi-channel audio allows you to capture and output up to 24 channels of high-resolution audio at a time. Final Cut Studio 5 includes Final Cut Pro 5, Motion 2, Soundtrack Pro, DVD Studio Pro 4, Compressor, Cinema Tools, LiveType 2, and QuickTime Pro. With so many advanced features at your fingertips, you can easily create professional-grade video to be aired throughout Manhattan.</p>"
"Programming for World Aids Day";"1163179825";"1163606094";"<p>[img_assist|nid=440|title=|desc=|link=none|align=left|width=76|height=119]</p><p>&nbsp;</p><p>As you may know, Dec. 1st, 2006 is World AIDS Day. MNN is hosting a number of programs in honor of this event and to commemorate the 25th anniversary of the first diagnosis of the disease.<br /></p><p>The program series will begin on Dec 1st and end on Dec. 10th. We are asking community groups individuals to submit programming on issues surrounding HIV and AIDS. We are also seeking older material as well, to chart the course of the epidemic in our communities over the past 25 years.</p> <!--BREAK--> <p>We are accepting tapes of various lengths on MiniDV, DV cam, or VHS. If you have material on DVD and can&#39;t transfer it to MiniDV, send it to us and we can make the transfer. <br /></p><p>If you are interested in submitting programming you can mail it to:<br /><br />Manhattan Neighborhood Network<br />attn: Ivettza Sanchez<br />537 W. 59th<br />New York, NY 10019<br /><br />You can also hand deliver any programming that you might have, but please make sure we have it at MNN by Nov. 20th, 2006. If you have any questions or concerns, please feel to contact Ivettza at 212-757-2670 x345.</p>"
"MNN Launches New Themed Channels";"1163189993";"1170966985";"<p>[img_assist|nid=338|title=|desc=|link=none|align=left|width=344|height=124]</p><p>&nbsp;</p><p>&nbsp;</p><p>In the spring, we will revamp our four channels to reach broader audiences and allow viewers greater ease of find shows by interest. Each channel will have its own flavor and identity, but still exhibit a broad range of programming:<br /></p><p>&nbsp;</p><p>&nbsp;</p><p><strong>TWC 34/RCN 83:  </strong><em><strong>COMMUNITY</strong> -What do our communities have to say?</em><br /><strong>TWC 56/RCN 84:  </strong><em><strong>LIFESTYLES</strong> -What informs, entertains, and expresses us?</em><br /><strong>TWC 57/RCN 85:</strong><em><strong>  SPIRIT</strong> -</em><em>What encourages, inspires, and provides us with reflection and personal growth?</em><br /><strong>TWC 67/RCN 86: </strong><em><strong>CULTURE</strong> -What are culture and history, and how do they unite us as people?<br /></em></p><p>Since our programming is just as eclectic and diverse as the people who create it, it is important to note that many of the themes will overlap within these four channels. These changes are being made not to limit or categorize our voices, but make it easier for viewers to tune in to hear what we have to say!</p>"
"MNN Vlogs";"1162999297";"1170967051";"<h3>[img_assist|nid=336|title=|desc=|link=url,http://www.mnn.org/viewers/showvlogs|align=left|width=420|height=78] </h3><p> As the lines between television and the Internet continue to blur, MNN producers are on the frontlines of the video blogging revolution. Check out some of our most popular shows at <a href=\"/viewers/showvlogs\" title=\"Vlog!\">Vlog!</a></p>"
"\"Eye Am: Women Behind the Lens\" Seeking Submissions";"1163546974";"1163801431";"<p>[img_assist|nid=484|title=Check out Eye Am on December 6th 8-9 pm on TWC 34 |desc=|link=none|align=left|width=300|height=72]</p><p><a href=\"http://eyeamvideo.blogspot.com\">&quot;Eye Am: Women Behind the Lens&quot;</a> is seeking short film/video submissions for the Winter Season. The first episode of the new season will begin January 3, 2007. This monthly series seeks to highlight women&#39;s memoir and the ways in which women have used film and video to negotiate the construction of &quot;Self&quot; (however you wish to interpret that).<br /><br />We are looking for diverse works from all genres that are written, directed, and/or produced by women. The pieces should be short, not more than 30 minutes in length. Spread the word to anyone who may be interested in submitting!<br /><br />Send DVDs or MiniDV tapes with supporting materials to:<br /><br />Vickie Kereszi/EYE AM<br />Manhattan Neighborhood Network<br />537 W. 59th Street<br />New York, NY 10019<br /><br />No fee for submission- please send a SASE if you would like your materials returned.</p>"
"MNN Events Calendar";"1164655841";"1164950714";"<p>[img_assist|nid=512|title=|desc=|link=none|align=left|width=251|height=127]<br />What to do when you&#39;re taking a break from producing shows and watching our 4 wonderful channels? The new <a href=\"/event\">MNN Events Calendar</a> is here to help!   </p><p>The Events Calendar has info on:<br /></p><ul><li>All MNN-hosted events, including screenings and meet-&#39;n-greets</li><li>Independent films and video projects around the city<br /></li><li>Readings, live performances, rallies, and grassroots benefits hosted by other non-profit organizations </li></ul>This is NYC&#39;s most comprehensive calendar of progressive media and cultural events (in our humble, humble opinion.)  All events we list are community-minded and either free or low-cost. Visit our <a href=\"/event\">Events Calendar</a> and...who knows? Maybe you&#39;ll find a <a href=\"/youth-channel-fall-wrap-screening\">screening</a>, <a href=\"/reading-amy-goodman-static\">reading</a>, or <a href=\"/node/492\">film festival</a> that&#39;s right up your alley. "
"Tune in December 1st for World AIDS Day";"1164829939";"1166026144";"<h5>[img_assist|nid=532|title=|desc=|link=none|align=left|width=147|height=118]<strong>AIDS @ 25: Breaking the Silence</strong></h5><h2><strong>8:00PM - 12:00midnight</strong><br /></h2><p><strong>Location: Worldwide at MNN.org | In Manhattan: Time Warner Channel 67 | RCN 86</strong><br /><a href=\"mailto:promo@mnn.org\" onclick=\"return top.js.OpenExtLink(window,event,this)\"></a><br />Manhattan Neighborhood Network (MNN) announces a special bilingual (English/Spanish) programming initiative to raise awareness around HIV/AIDS prevention and treatment services for people living with AIDS.</p><p>&nbsp;</p><p> <strong>AIDS @ 25: Breaking the Silence December 1st World AIDS Day Programming:</strong><br />8:00-9:00 pm:  <em>AIDS in the Black community</em><br />9:00-9:30 pm: <em>SIDA en la Comunidad Latina</em><br />9:30-10:00 pm: <em>SIDA a los 25: Culturas de Prevención</em><br />10:00-11:30 pm: <em>Community Highlights</em><br />11:30-12midnight: <em>AIDS@25: Cultures of Prevention</em><br /><br />The programming block will begin airing on World AIDS Day, December 1st from 8pm-12am, with live panels of community organizers, documentaries and performances. The ten day programming series commemorating the 25th year of the epidemic will culminate on December 10th with programs curated by MNN&#39;s Youth Channel, in collaboration with UNICEF&#39;s International Children&#39;s Day of Broadcast, which this year is dedicated to HIV/AIDS awareness.<br /><br />From December 1st through December 10th, MNN will also air special programming from its vast archives highlighting the struggles of New Yorkers to fight for services and human rights for people living with HIV/AIDS.  Community groups which have produced programming over the past fifteen years for airing on MNN include:  Housing Works, AIDS Community Television, ACT Up!, Streetworks, MTFA/FACES, Harlem United, Allied Productions, Mexicanos Unidos, Gay Men&#39;s Health Crisis, and many more.</p><p><br /><!-- D([\"mb\",\"<br /-->MNN will air its special programming on Time Warner Cable 67, RCN 86, and via its website at MNN.org. More info on December 10th&#39;s programming is also available at youthchannel.org.<br /><br />Manhattan Neighborhood Network is the community access television station and community media resource center for Manhattan residents &amp; non-profits.<br /></p>"
"Survey for AIDS Programming Series, Dec. 1-10";"1165266972";"1166025795";"<p>[img_assist|nid=440|title=|desc=|link=url,http://www.mnn.org/survey-aids-programming|align=left|width=60|height=100]</p><p>&nbsp;</p><p>We hope you&#39;ve been able to catch some of our special programming in conjunction with World AIDS Day. If you have, please take a moment to fill out an <a href=\"/survey-aids-programming\">online survey</a> to help us produce even better programming in the future.</p><p>The ten-day programming series continues through Dec. 10. (Check listings on <a href=\"/viewers/schedule\">our schedule</a>.) We will be airing shows from our vast archives from the past 15 years, as well as re-airing the new shows that debuted Dec. 1. </p><p>On December 10th, be sure to catch <a href=\"http://www.youthchannel.org/\">special programming curated by MNN&#39;s Youth Channel</a>, in collaboration with UNICEF&#39;s International Children&#39;s Day of Broadcast. The programming will air on TW 34/78 RCN 83 from 10am to 6pm. </p><p>&nbsp;</p><p>&nbsp;</p>"
